cell_id,iso3,country,year,variable,value,source_id,source_url,snapshot_source_url,retrieval_status,evidence_type,quality_code,local_path,evidence_href,downloadable_local,evidence_label,evidence_note
AUS:2012:year,AUS,Australia,2012,year,2012,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2012:population,AUS,Australia,2012,population,22733465,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2012:foreign_born,AUS,Australia,2012,foreign_born,6214010,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2012:foreign_born_pct_pop,AUS,Australia,2012,foreign_born_pct_pop,0.27334196524814847,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2013:year,AUS,Australia,2013,year,2013,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2013:population,AUS,Australia,2013,population,23128129,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2013:foreign_born,AUS,Australia,2013,foreign_born,6408740,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2013:foreign_born_pct_pop,AUS,Australia,2013,foreign_born_pct_pop,0.27709720920356334,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2014:year,AUS,Australia,2014,year,2014,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2014:population,AUS,Australia,2014,population,23475686,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2014:foreign_born,AUS,Australia,2014,foreign_born,6570240,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2014:foreign_born_pct_pop,AUS,Australia,2014,foreign_born_pct_pop,0.27987424946815187,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2015:year,AUS,Australia,2015,year,2015,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2015:population,AUS,Australia,2015,population,23815995,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2015:foreign_born,AUS,Australia,2015,foreign_born,6729730,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2015:foreign_born_pct_pop,AUS,Australia,2015,foreign_born_pct_pop,0.28257185979422655,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2015:irregular_proxy_overstayers,AUS,Australia,2015,irregular_proxy_overstayers,62000,S0140,https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,retrieved,local_snapshot,A,sources/S0140_homeaffairs-gov-au_dibp-annual-report-2015-16-pdf_a4a339e2689a.pdf,sources/S0140_homeaffairs-gov-au_dibp-annual-report-2015-16-pdf_a4a339e2689a.pdf,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2016:year,AUS,Australia,2016,year,2016,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2016:population,AUS,Australia,2016,population,24190907,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2016:foreign_born,AUS,Australia,2016,foreign_born,6912110,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2016:foreign_born_pct_pop,AUS,Australia,2016,foreign_born_pct_pop,0.2857317420963174,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2016:irregular_proxy_overstayers,AUS,Australia,2016,irregular_proxy_overstayers,64600,S0131,https://www.aph.gov.au/~/media/Committees/legcon_ctte/estimates/bud_1718/DIBP/QoNs/BE17171.pdf,https://www.homeaffairs.gov.au/reports-and-pubs/Annualreports/dibp-annual-report-2015-16.pdf,retrieved_via_alternate,local_alternate_mirror,B,sources/S0131_homeaffairs-gov-au_dibp-annual-report-2015-16-pdf_a4a339e2689a.pdf,sources/S0131_homeaffairs-gov-au_dibp-annual-report-2015-16-pdf_a4a339e2689a.pdf,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2017:year,AUS,Australia,2017,year,2017,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2017:population,AUS,Australia,2017,population,24592588,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2017:foreign_born,AUS,Australia,2017,foreign_born,7142030,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2017:foreign_born_pct_pop,AUS,Australia,2017,foreign_born_pct_pop,0.2904139247158534,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2018:year,AUS,Australia,2018,year,2018,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2018:population,AUS,Australia,2018,population,24963258,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2018:foreign_born,AUS,Australia,2018,foreign_born,7346520,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2018:foreign_born_pct_pop,AUS,Australia,2018,foreign_born_pct_pop,0.2942933170021317,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2019:year,AUS,Australia,2019,year,2019,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2019:population,AUS,Australia,2019,population,25334826,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2019:foreign_born,AUS,Australia,2019,foreign_born,7549660,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2019:foreign_born_pct_pop,AUS,Australia,2019,foreign_born_pct_pop,0.297995336537934,S0112,"https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",retrieved,local_snapshot,A,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,sources/S0112_sdmx-oecd-org_aus-w-a-b14-t-z-z-ps_a3472957a756.json,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
AUS:2020:year,AUS,Australia,2020,year,2020,PANEL,,,local_data,panel_record,P,data/panel_evidence.csv,data/panel_evidence.csv,True,local Panel evidence register,Year value comes from the copied Panel row; the evidence register is downloadable locally.
AUS:2020:population,AUS,Australia,2020,population,25649248,S0044,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,retrieved,local_snapshot,A,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,sources/S0044_api-worldbank-org_sp-pop-totl_d16897e92b17.xml,True,Reused the existing local snapshot from an earlier build.,Reused the existing local snapshot from an earlier build.
