Scope,Country,ISO3,Topic / variable(s),Years,Source name,Source URL,Local path,Status,HTTP,Bytes,Verification / notes
Country,Belgium,BEL,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\004_table.html_197b34a1e6,downloaded,200,8629,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,Bulgaria,BGR,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Bulgaria,BGR,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=BG&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop1ctz.json_b6e2f92e70,downloaded,200,3192,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless) stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless); apparent break in series (population census re-basing)
Country,Bulgaria,BGR,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\003_table.html_197b34a1e6,downloaded,200,8628,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,Bulgaria,BGR,foreign_born,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BG&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\004_migr_pop3ctb.json_5fb41a27c3,downloaded,200,3172,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country); Eurostat series starts in 2011 stock at 1 Jan; c_birth=FOR (born in a foreign country); apparent break in series (population census re-basing); Eurostat series starts in 2011
Country,Chile,CHL,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Chile,CHL,foreign_born,2010;2011;2012;2013;2014;2015;2017;2019;2020;2021;2022,"OECD International Migration Database (stocks of foreign-born population, measure B14)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG_F@DF_MIG_POPF,1.0/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",sources\002_CHL.W.A.B14._T._Z._Z.PS_91ea47cc49,downloaded,200,6796,retrieved_api_or_data OECD IMD foreign-born stock for Chile; derived from INE/SERMIG foreign-resident estimates and Censo 2017. NOTE: OECD labels this series one year later than the corresponding B15 foreign-national series (e.g. 1534813 appears as 2021 here and as 2020 under B15). Values recorded exactly as published.
Country,Chile,CHL,foreign_nationals,2017;2018;2019;2020;2021;2022,"OECD International Migration Database (stocks of foreign population, measure B15)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG@DF_MIG,1.0/CHL.W.A.B15._T._Z._Z.PS?startPeriod=2010&endPeriod=2022&format=jsondata&dimensionAtObservation=AllDimensions",sources\003_CHL.W.A.B15._T._Z._Z.PS_2733745ab4,downloaded,200,6614,retrieved_api_or_data Foreign nationals resident in Chile; OECD IMD series based on INE/SERMIG estimates of foreign residents. Reference date 31 December.
Country,Chile,CHL,irregular_stock,2018;2019;2020;2021;2022,"Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2023 revised methodology) | Instituto Nacional de Estadisticas (INE) and Servicio Nacional de Migraciones (SERMIG), Estimacion de Personas Extranjeras Residentes Habituales en Chile 2023 - Sintesis (2022 methodology series)",https://www.ine.gob.cl/docs/default-source/demografia-y-migracion/publicaciones-y-anuarios/migraci%C3%B3n-internacional/estimaci%C3%B3n-poblaci%C3%B3n-extranjera-en-chile-2018/sintesis-epe2023.pdf?sfvrsn=cc51129c_10,sources\004_sintesis-epe2023.pdf_ee5bd23795,downloaded,200,1110426,"retrieved_reference_file_or_page Reference date 31 December 2018. Modelled stock estimate, REVISED under the 2023 methodology which added Mineduc school-enrolment and SERMIG biometric-registration records. Substantially higher than the 2022-methodology value for the same year. Reference date 31 December 2019. Modelled stock estimate, REVISED under the 2023 methodology which added Mineduc school-enrolment and SERMIG biometric-registration records. Substantially higher than the 2022-methodology value for the same year. Reference date 31 December 2020. Modelled stock estimate, REVISED under the 2023 methodology which added Mineduc school-enrolment and SERMIG biometric-registration records. Substantially higher than the 2022-methodology value for the same year. Reference date 31 December 2021. Modelled stock estimate of foreign residents in irregular migratory status, built from census plus administrative records. This is the 2022-methodology series; INE revised 2018-2020 sharply upward in the 2023 methodology (recorded as separate rows). Reference date 31 December 2022. Modelled stock estimate of foreign residents in irregular migratory status, built from census plus administrative records. This is the 2022-methodology series; INE revised 2018-2020 sharply upward in the 2023 methodology (recorded as separate rows). Reference date 31 December 2018. Modelled stock estimate of foreign residents in irregular migratory status, built from census plus administrative records. This is the 2022-methodology series; INE revised 2018-2020 sharply upward in the 2023 methodology (recorded as separate rows). Reference date 31 December 2019. Modelled stock estimate of foreign residents in irregular migratory status, built from census plus administrative records. This is the 2022-methodology series; INE revised 2018-2020 sharply upward in the 2023 methodology (recorded as separate rows). Reference date 31 December 2020. Modelled stock estimate of foreign residents in irregular migratory status, built from census plus administrative records. This is the 2022-methodology series; INE revised 2018-2020 sharply upward in the 2023 methodology (recorded as separate rows)."
Country,Chile,CHL,irregular_stock,2022,"Instituto Nacional de Estadisticas (INE) de Chile, press release 29 December 2023",https://www.ine.gob.cl/sala-de-prensa/prensa/general/noticia/2023/12/29/poblaci%C3%B3n-extranjera-residente-en-chile-super%C3%B3-los-1-6-millones-de-personas-en-2022-con-un-6-6-de-ellas-en-situaci%C3%B3n-irregular,sources\005_poblaci_C3_B3n-extranjera-residente-en-chile-super_C3_B3-los-1-6-millones-de-per.html_0b90b2037a,downloaded,200,101880,"retrieved_reference_file_or_page Reference date 31 December 2022. Modelled stock estimate: 6.6% of a total foreign population of 1,625,074. Differs slightly from the 109,846 in the 2023 Sintesis (different publication vintage)."
Country,China,CHN,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,China,CHN,foreign_born,2010;2015;2020,UN DESA International Migrant Stock (World Bank indicator SM.POP.TOTL),https://api.worldbank.org/v2/country/CHN;IND;PHL;RUS;ZAF;SUR;THA/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=200,sources\002_SM.POP.TOTL_16f81ab86b,downloaded,200,19399,"retrieved_api_or_data UN estimate (not annual); mid-year benchmark year only; retrieved from World Bank mirror of UN DESA International Migrant Stock, accessed 2026-08; latest UN revision is IMS 2024 UN estimate (not annual); mid-year benchmark year only; retrieved from World Bank mirror of UN DESA International Migrant Stock, accessed 2026-08"
Country,China,CHN,foreign_nationals,2010,National Bureau of Statistics of China - 2010 Population Census (Sixth National Population Census),https://www.stats.gov.cn/english/NewsEvents/201104/t20110429_26451.html,sources\003_t20110429_26451.html_9e1bd1af94,downloaded,200,19101,"retrieved_reference_file_or_page Census count, reference date 1 Nov 2010; foreign nationals who had stayed or intended to stay more than three months in mainland China; excludes 426313 residents of Hong Kong SAR (234829), Macao SAR (21201) and Taiwan (170283) who are counted separately, giving a total of 1020145 persons from outside the mainland"
Country,China,CHN,foreign_nationals,2020,National Bureau of Statistics of China - Communique of the Seventh National Population Census (No. 8),https://www.stats.gov.cn/english/PressRelease/202105/t20210510_1817193.html,sources\004_t20210510_1817193.html_1abb4d7d3c,downloaded,200,18806,"retrieved_reference_file_or_page Census count, reference date 1 Nov 2020; foreign nationals residing in the 31 mainland provinces; excludes 584998 residents of Hong Kong SAR (371380), Macao SAR (55732) and Taiwan (157886), giving a total of 1430695 persons from outside the mainland"
Country,Croatia,HRV,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Croatia,HRV,foreign_born,2011,"Croatian Bureau of Statistics, Census 2011",https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_25/E01_01_25.html,sources\002_E01_01_25.html_fe51420144,downloaded,200,42814,"retrieved_reference_file_or_page census reference date 31 March 2011, NOT stock at 1 Jan; published category 'Born abroad'; total census population 4284889; not strictly comparable with the Eurostat 1 Jan register series"
Country,Croatia,HRV,foreign_nationals,2011,"Croatian Bureau of Statistics, Census 2011",https://web.dzs.hr/eng/censuses/census2011/results/htm/e01_01_06/e01_01_06_RH.html,sources\003_e01_01_06_RH.html_bdb2cb656b,downloaded,200,14475,"retrieved_reference_file_or_page census reference date 31 March 2011, NOT stock at 1 Jan; computed as published 'Foreign' citizenship 22527 plus 'Stateless' 749 to match the Eurostat FOR_STLS concept; 'Unknown' citizenship 2137 excluded; not strictly comparable with the Eurostat 1 Jan register series"
Country,Croatia,HRV,foreign_born,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=HR&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\004_migr_pop3ctb.json_b195af1e3e,downloaded,200,3224,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country); Eurostat series for Croatia starts in 2013
Country,Croatia,HRV,foreign_nationals,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=HR&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\005_migr_pop1ctz.json_d1b67d8133,downloaded,200,3232,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless); Eurostat series for Croatia starts in 2013 stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless); apparent break in series (population census re-basing); Eurostat series for Croatia starts in 2013
Country,Croatia,HRV,irregular_proxy_detections,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\006_table.html_197b34a1e6,downloaded,200,8628,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat. Croatia acceded to the EU in July 2013; no data reported before 2013."
Country,Czech Republic,CZE,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Czech Republic,CZE,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=CZ&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop3ctb.json_724921bdeb,downloaded,200,3261,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country) stock at 1 Jan; c_birth=FOR (born in a foreign country); apparent break in series (population census re-basing)
Country,Czech Republic,CZE,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=CZ&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\003_migr_pop1ctz.json_2f880d3691,downloaded,200,3270,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless) stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless); apparent break in series (population census re-basing)
Country,Czech Republic,CZE,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\004_table.html_197b34a1e6,downloaded,200,8629,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,Czech Republic,CZE,irregular_stock,2017,"Pew Research Center (2019), Europe's Unauthorized Immigrant Population Peaks in 2016, Then Levels Off",https://www.pewresearch.org/global/2019/11/13/europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off/,sources\005_europes-unauthorized-immigrant-population-peaks-in-2016-then-levels-off.html_a3fd290b66,downloaded,200,504541,"retrieved_reference_file_or_page Pew residual method (population/labour-force data minus lawfully resident foreign-born), estimate INCLUDES asylum seekers awaiting a decision; published range 100000-200000, value is the midpoint of the published range. Pew reports only rounded 100k bounds."
Country,Denmark,DNK,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Denmark,DNK,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=DK&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop3ctb.json_51b47704a3,downloaded,200,3184,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country)
Country,Denmark,DNK,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=DK&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\003_migr_pop1ctz.json_6c71c3626f,downloaded,200,3202,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless)
Country,Denmark,DNK,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\004_table.html_197b34a1e6,downloaded,200,8628,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,Finland,FIN,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
Country,Finland,FIN,foreign_born,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=FI&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,sources\002_migr_pop3ctb.json_9087849c36,downloaded,200,3184,retrieved_api_or_data stock at 1 Jan; c_birth=FOR (born in a foreign country)
Country,Finland,FIN,foreign_nationals,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=FI&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,sources\003_migr_pop1ctz.json_41462c6432,downloaded,200,3202,retrieved_api_or_data stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless)
Country,Finland,FIN,irregular_proxy_detections,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"Eurostat, Third country nationals found to be illegally present (migr_eipre)",https://ec.europa.eu/eurostat/databrowser/view/migr_eipre/default/table,sources\004_table.html_197b34a1e6,downloaded,200,8630,"retrieved_reference_file_or_page Eurostat enforcement statistic - annual flow of detections, NOT a stock. Dataset migr_eipre, dimensions freq=A citizen=TOTAL reason=TOTAL apprehen=TOTAL sex=T age=TOTAL unit=PER. Rounded to nearest 5 by Eurostat."
Country,France,FRA,population,2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,"World Bank, World Development Indicators (SP.POP.TOTL), sourced from UN World Population Prospects and national statistical offices",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL,sources\001_SP.POP.TOTL_80953ad53b,downloaded,200,17637,"retrieved_reference_file_or_page Total resident population, mid-year estimate. Retrieved via World Bank API, August 2026."
